bowler,total_wickets,total_balls,total_runs_given,economy
M Shahrukh Khan,1,6,13,13.0
BCJ Cutting,1,18,14,4.67
P Sahu,1,40,61,9.15
RN ten Doeschate,1,33,37,6.73
KP Pietersen,1,18,26,8.67
JD Ryder,1,19,23,7.26
WA Mota,1,20,34,10.2
KW Richardson,1,24,27,6.75
AD Mascarenhas,1,48,46,5.75
AB McDonald,1,12,11,5.5
K Khejroliya,1,19,28,8.84
AJ Finch,0,7,5,4.29
AS Roy,0,10,18,10.8
AG Murtaza,0,25,22,5.28
AL Menaria,0,6,12,12.0
AC Voges,0,7,15,12.86
AM Nayar,0,6,10,10.0
Tilak Varma,0,10,14,8.4
Abdul Samad,0,18,35,11.67
Y Gnaneswara Rao,0,6,7,7.0
B Laughlin,0,24,46,11.5
YBK Jaiswal,0,1,6,36.0
V Sehwag,0,6,3,3.0
T Shamsi,0,24,34,8.5
Aman Hakim Khan,0,6,13,13.0
Atharva Taide,0,1,4,24.0
Ankit Sharma,0,49,57,6.98
TM Dilshan,0,6,14,14.0
Arshad Khan (2),0,13,22,10.15
TP Sudhindra,0,23,42,10.96
Arjun Tendulkar,0,15,21,8.4
Ankit Soni,0,13,31,14.31
AA Jhunjhunwala,0,6,11,11.0
SB Bangar,0,20,13,3.9
C Munro,0,6,7,7.0
RG More,0,13,27,12.46
K Goel,0,12,25,12.5
K Upadhyay,0,32,46,8.62
K Yadav,0,12,16,8.0
R Sanjay Yadav,0,14,21,9.0
R Ravindra,0,6,4,4.0
KJ Abbott,0,18,25,8.33
R Powell,0,7,16,13.71
R McLaren,0,31,49,9.48
KS Williamson,0,12,24,12.0
KT Maphaka,0,14,20,8.57
Prince Yadav,0,41,62,9.07
Pankaj Singh,0,18,26,8.67
M Manhas,0,18,19,6.33
PHKD Mendis,0,12,18,9.0
M Vijay,0,24,28,7.0
M de Lange,0,19,35,11.05
MA Khote,0,12,22,11.0
P Prasanth,0,6,18,18.0
MK Lomror,0,18,23,7.67
Mohammad Nabi,0,90,123,8.2
